6160725,09-30-02,500.00,Check from VSLR
6215202,03-13-20,10079.27,Roofing not included as EPC
6247760,03-13-20,13792.68,Roofing not included as EPC
6310722,05-08-2020,8863.13,Roofing not included as EPC
6363696,10-01-2021,14268.50,We paid VSLR money and they reimbursed to us
6369427,11-02-2022,387.32,Roof portion
6419084,05-16-22,-1040.00,.20c off on Baseline
6445069,11-02-2022,6483.75,Shows installed
6488463,08-23-21,519.78,Redline probably
6491506,08-18-21,984.36,VSLR Claw back timelines Expired
6500630,12-23-20,22500.00,Tagging Inentive check to this job
6532355,12-29-20,15000.00,Tagging incentive check to this job for mW trip
0064M00000YHwSFQA1,01-10-2022,-5998.29,"Dealer fee for canceled job after it funded, no way around this one"
0064M00000YrW66QAF,09-28-22,4350.01,Reconciliation for an account closed 2 years ago
0066S000010PzoZQAS,09-28-22,-375.00,Offsetting SLF Loan fee difference
21-01-055613,08-24-21,687.84,GL sent extra money on this purposefully
21-15-041304,03-10-2021,587.31,GL sent extra money on this purposefully
AB003684941,01-06-2023,112.00,SOVA Recon
AO003776597,01-06-2023,168.00,SOVA Recon
AR003580238,01-06-2023,244.80,SOVA Recon
AT003688375,01-06-2023,168.00,SOVA Recon
AV003758673,01-06-2023,177.50,SOVA Recon
BM003697903,01-06-2023,210.00,SOVA Recon
CA003633741,01-06-2023,231.00,SOVA Recon
CH003756147,01-06-2023,201.60,SOVA Recon
CI003497891,01-06-2023,297.00,SOVA Recon
CM003792100,01-06-2023,140.00,SOVA Recon
CQ003974809,01-06-2023,111.00,SOVA Recon
CU003482656,01-06-2023,211.20,SOVA Recon
CZ003499961,01-06-2023,295.20,SOVA Recon
DD003883474,01-06-2023,190.40,SOVA Recon
DE003707103,01-06-2023,189.00,SOVA Recon
DG003731114,01-06-2023,294.00,SOVA Recon
DK003543275,01-06-2023,154.00,SOVA Recon
DO003817236,01-06-2023,197.20,SOVA Recon
DT003785626,01-06-2023,113.60,SOVA Recon
DX003929040,01-06-2023,115.60,SOVA Recon
EE003684365,01-06-2023,294.00,SOVA Recon
EE003942986,01-06-2023,129.20,SOVA Recon
EE004294774,01-25-24,224.00,MDFDECEMBER2023-20
EM003697488,01-06-2023,350.00,SOVA Recon
FB003755407,01-06-2023,205.90,SOVA Recon
FI004206395,01-25-24,149.60,MDFDECEMBER2023-11
FK003773565,01-06-2023,154.00,SOVA Recon
FL004114753,01-25-24,176.80,MDFDECEMBER2023-15
FP003770999,01-06-2023,154.00,SOVA Recon
FP003889817,01-06-2023,149.60,SOVA Recon
FY003468309,01-06-2023,214.20,SOVA Recon
GD003748090,01-06-2023,112.00,SOVA Recon
GD003759169,01-06-2023,175.00,SOVA Recon
GH003595107,01-06-2023,217.00,SOVA Recon
GI003946244,01-06-2023,163.20,SOVA Recon
GQ003908198,01-06-2023,547.40,SOVA Recon
GR003803369,01-06-2023,395.29,SOVA Recon
GS003697864,01-06-2023,259.00,SOVA Recon
GY003782352,01-06-2023,126.00,SOVA Recon
HC003586294,01-06-2023,287.00,SOVA Recon
HM003759232,01-06-2023,154.00,SOVA Recon
HZ003861218,01-06-2023,70.00,SOVA Recon
IL003783435,01-06-2023,112.00,SOVA Recon
IM003855450,01-06-2023,154.00,SOVA Recon
