21073,,2060.00,Retention-1,01-02-24
22519,,2000.00,Retention-1,01-19-24
3193407,,,Rebate,11-08-21
5991102,,500.00,Rebate,05-06-20
5991102,,211.33,Retention-1,01-25-21
5993106,100,500.00,Rebate,03-13-19
5996176,,109.25,Retention-1,12-31-19
5996176,,220.00,Retention-2,02-15-20
5996176,,226.42,Retention-3,12-10-20
6001586,100,500.00,Rebate,01-09-20
6007104,100,500.00,Rebate,03-17-20
6012730,,800.00,Rebate,01-19-19
6020299,,300.00,Rebate,01-30-19
6020485,,500.00,Rebate,02-26-19
6021278,100,500.00,Rebate,06-18-19
6021745,,351.92,Promo,03-30-19
6021745,0,2000.00,Retention-1,08-20-20
6024275,,500.00,Rebate,03-06-19
6026527,100,500.00,Rebate,01-23-19
6035729,100,500.00,Rebate,01-03-19
6036699,,500.00,Rebate,01-04-19
6037889,,500.00,Rebate,01-07-19
6039077,,500.00,Rebate,01-15-19
6039656,0,177.88,Retention-1,10-01-20
6039656,0,129.00,Promo,11-05-20
6039708,100,250.00,Rebate,01-11-19
6039885,100,500.00,Rebate,01-18-19
6039892,100,500.00,Rebate,01-22-19
6039899,100,500.00,Rebate,01-11-19
6041193,,500.00,Rebate,01-26-19
6041274,,500.00,Rebate,01-14-19
6041741,,500.00,Rebate,01-22-19
6041751,,500.00,Rebate,01-16-19
6044953,,342.01,Promo,01-19-19
6045738,100,500.00,Rebate,01-28-19
6046438,,500.00,Rebate,01-24-19
6047628,100,500.00,Rebate,01-28-19
6049422,100,500.00,Rebate,01-31-19
6049573,100,500.00,Rebate,01-28-19
6050183,100,500.00,Rebate,01-29-19
6050384,,500.00,Rebate,01-29-19
6051270,100,500.00,Rebate,02-26-19
6051333,,500.00,Rebate,01-30-19
6052130,,500.00,Promo,02-09-19
6052948,100,500.00,Rebate,02-16-19
6053457,,500.00,Promo,02-26-19
6054088,100,500.00,Rebate,02-05-19
6054472,,1000.00,Rebate,02-07-19
6056107,,382.19,Promo,02-09-19
6056330,,358.37,Promo,02-13-19
6056980,,325.49,Promo,02-16-19
6058116,100,500.00,Rebate,04-27-19
6058448,100,500.00,Rebate,02-18-19
6058605,,154.10,Retention-1,10-23-19
6059138,100,1000.00,Rebate,07-02-19
6059206,,340.15,Promo,02-19-19
6059553,,380.09,Promo,02-14-19
6059801,,382.19,Promo,02-15-19
6060049,,500.00,Rebate,04-27-19
6060057,,372.04,Promo,02-22-19
6060467,,500.00,Promo,02-16-19
6061051,,1000.00,Rebate,08-31-19
6061205,,500.00,Rebate,02-18-19
6061661,,500.00,Promo,02-25-19
6062761,100,500.00,Rebate,02-20-19
6063064,,372.04,Promo,02-25-19
6063424,,350.00,Promo,03-25-19
6063469,,318.89,Promo,02-26-19
6065334,,325.70,Promo,02-25-19
6065408,,1000.00,Rebate,02-28-19
6065428,,350.00,Promo,03-30-19
6065428,100,300.00,Rebate,03-30-19
6065676,100,500.00,Rebate,02-27-19
6067297,,500.00,Rebate,03-06-19
6067333,100,800.00,Rebate,03-08-19
6067758,100,1000.00,Rebate,04-10-19
6067919,,375.89,Promo,03-05-19
6067919,,500.00,Rebate,03-05-19
6068611,100,600.00,Rebate,03-01-19
6068717,,379.01,Promo,03-02-19
6068717,100,349.00,Rebate,03-02-19
6069844,100,500.00,Rebate,03-11-19
6070187,100,500.00,Rebate,03-06-19
6070269,,347.51,Promo,03-08-19
6070269,,250.00,Rebate,03-08-19
6071452,100,800.00,Rebate,03-12-19
6071905,100,500.00,Rebate,03-12-19
6072110,,368.54,Promo,03-08-19
6072111,,368.54,Promo,03-08-19
6072456,,353.81,Promo,03-08-19
6072456,100,500.00,Rebate,03-08-19
6073261,100,500.00,Rebate,03-09-19
6073380,,100.00,Retention-1,03-09-19
6073511,100,500.00,Rebate,03-11-19
6073646,100,500.00,Rebate,03-20-19
6073712,,350.00,Promo,03-15-19
6073806,,353.78,Promo,03-16-19
6073820,,351.92,Promo,03-12-19
